judge_score_id,judge,judge_score,performance_id,season,week,week_theme,couple,primary_dance_style,primary_song,primary_song_artist,total_score,dance_style,music,result,week_title,celeb_name_part,pro_name_part,professional,celebrity,notability,film,era,original_couple,dance_chosen_by,tv_show,disney_film,film_theme,trio_partner,james_bond_film,dynamic_duo,professionals,icon,film_series,icons,mentor,horror_film_show,trio_dance_partner,villain,cirque_du_soleil_show,genre,broadway_show,television_show,musical,guest_judge,michael_jackson_theme
113,Bruno Tonioli,7.0,1,2,1,No Theme,Lisa & Louis,Waltz,"""(You Make Me Feel Like) A Natural Woman""",Aretha Franklin,19,Waltz,"""(You Make Me Feel Like) A Natural Woman""—Aretha Franklin",Safe,Week 1,Lisa,Louis,Louis van Amstel,Lisa Rinna,Television actress & host,,,,,,,,,,,,,,,,,,,,,,,,,
114,Carrie Ann Inaba,4.0,2,2,1,No Theme,Kenny & Andrea,Cha-Cha-Cha,"""Hot Stuff""",Donna Summer,13,Cha-cha-cha,"""Hot Stuff""—Donna Summer",Eliminated,Week 1,Kenny,Andrea,Andrea Hale,Kenny Mayne,ESPN anchorman,,,,,,,,,,,,,,,,,,,,,,,,,
115,Len Goodman,5.0,2,2,1,No Theme,Kenny & Andrea,Cha-Cha-Cha,"""Hot Stuff""",Donna Summer,13,Cha-cha-cha,"""Hot Stuff""—Donna Summer",Eliminated,Week 1,Kenny,Andrea,Andrea Hale,Kenny Mayne,ESPN anchorman,,,,,,,,,,,,,,,,,,,,,,,,,
116,Bruno Tonioli,4.0,2,2,1,No Theme,Kenny & Andrea,Cha-Cha-Cha,"""Hot Stuff""",Donna Summer,13,Cha-cha-cha,"""Hot Stuff""—Donna Summer",Eliminated,Week 1,Kenny,Andrea,Andrea Hale,Kenny Mayne,ESPN anchorman,,,,,,,,,,,,,,,,,,,,,,,,,
117,Carrie Ann Inaba,8.0,3,2,1,No Theme,Stacy & Tony,Waltz,"""I Wonder Why""",Curtis Stigers,22,Waltz,"""I Wonder Why""—Curtis Stigers",Safe,Week 1,Stacy,Tony,Tony Dovolani,Stacy Keibler,WWE Diva,,,,,,,,,,,,,,,,,,,,,,,,,
118,Len Goodman,6.0,3,2,1,No Theme,Stacy & Tony,Waltz,"""I Wonder Why""",Curtis Stigers,22,Waltz,"""I Wonder Why""—Curtis Stigers",Safe,Week 1,Stacy,Tony,Tony Dovolani,Stacy Keibler,WWE Diva,,,,,,,,,,,,,,,,,,,,,,,,,
119,Bruno Tonioli,8.0,3,2,1,No Theme,Stacy & Tony,Waltz,"""I Wonder Why""",Curtis Stigers,22,Waltz,"""I Wonder Why""—Curtis Stigers",Safe,Week 1,Stacy,Tony,Tony Dovolani,Stacy Keibler,WWE Diva,,,,,,,,,,,,,,,,,,,,,,,,,
120,Carrie Ann Inaba,7.0,4,1,1,No Theme,Joey & Ashly,Cha-Cha-Cha,"""Crazy in Love""",Beyoncé feat. Jay-Z,20,Cha-cha-cha,"""Crazy in Love""—Beyoncé feat. Jay-Z",,Week 1,Joey,Ashly,Ashly DelGrosso,Joey McIntyre,New Kids on the Block singer,,,,,,,,,,,,,,,,,,,,,,,,,
121,Len Goodman,7.0,4,1,1,No Theme,Joey & Ashly,Cha-Cha-Cha,"""Crazy in Love""",Beyoncé feat. Jay-Z,20,Cha-cha-cha,"""Crazy in Love""—Beyoncé feat. Jay-Z",,Week 1,Joey,Ashly,Ashly DelGrosso,Joey McIntyre,New Kids on the Block singer,,,,,,,,,,,,,,,,,,,,,,,,,
122,Bruno Tonioli,6.0,4,1,1,No Theme,Joey & Ashly,Cha-Cha-Cha,"""Crazy in Love""",Beyoncé feat. Jay-Z,20,Cha-cha-cha,"""Crazy in Love""—Beyoncé feat. Jay-Z",,Week 1,Joey,Ashly,Ashly DelGrosso,Joey McIntyre,New Kids on the Block singer,,,,,,,,,,,,,,,,,,,,,,,,,
123,Carrie Ann Inaba,8.0,5,2,1,No Theme,Drew & Cheryl,Cha-Cha-Cha,"""She Bangs""",Ricky Martin,24,Cha-cha-cha,"""She Bangs""—Ricky Martin",Safe,Week 1,Drew,Cheryl,Cheryl Burke,Drew Lachey,98 Degrees singer,,,,,,,,,,,,,,,,,,,,,,,,,
124,Len Goodman,8.0,5,2,1,No Theme,Drew & Cheryl,Cha-Cha-Cha,"""She Bangs""",Ricky Martin,24,Cha-cha-cha,"""She Bangs""—Ricky Martin",Safe,Week 1,Drew,Cheryl,Cheryl Burke,Drew Lachey,98 Degrees singer,,,,,,,,,,,,,,,,,,,,,,,,,
125,Bruno Tonioli,8.0,5,2,1,No Theme,Drew & Cheryl,Cha-Cha-Cha,"""She Bangs""",Ricky Martin,24,Cha-cha-cha,"""She Bangs""—Ricky Martin",Safe,Week 1,Drew,Cheryl,Cheryl Burke,Drew Lachey,98 Degrees singer,,,,,,,,,,,,,,,,,,,,,,,,,
126,Carrie Ann Inaba,6.0,6,2,1,No Theme,Tia & Maks,Waltz,"""What a Wonderful World""",Louis Armstrong,20,Waltz,"""What a Wonderful World""—Louis Armstrong",Bottom two,Week 1,Tia,Maks,Maksim Chmerkovskiy,Tia Carrere,Actress & model,,,,,,,,,,,,,,,,,,,,,,,,,
127,Len Goodman,7.0,6,2,1,No Theme,Tia & Maks,Waltz,"""What a Wonderful World""",Louis Armstrong,20,Waltz,"""What a Wonderful World""—Louis Armstrong",Bottom two,Week 1,Tia,Maks,Maksim Chmerkovskiy,Tia Carrere,Actress & model,,,,,,,,,,,,,,,,,,,,,,,,,
